,Stops,Journey_Date,Departure_Time,Arrival_Time,Duration_Hours,Ticket_Class,Booking_Days_Before,Baggage_Allowance_Kg,Meal_Included,Fuel_Price_Impact,Peak_Season,Flight_Price_INR,Airline_Air India,Airline_Emirates,Airline_GoAir,Airline_IndiGo,Airline_Lufthansa,Airline_Qatar Airways,Airline_SpiceJet,Airline_Vistara,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Month_April,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,Source_Bangalore,Source_Chennai,Source_Delhi,Source_Dubai,Source_Hyderabad,Source_Kolkata,Source_London,Source_Mumbai,Source_New York,Destination_Bangalore,Destination_Chennai,Destination_Delhi,Destination_Dubai,Destination_Hyderabad,Destination_Kolkata,Destination_London,Destination_Mumbai,Destination_New York,Flight_Type_Domestic,Flight_Type_International
0,1,1,2,0,4,2,259,30,0,1.0015207393722505,1,29317,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,1,4,3,9,1,248,20,1,1.128425009419991,1,153856,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2,1,1,2,0,4,2,155,20,1,0.9429227717680808,1,31483,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,1,5,4,10,2,330,25,1,1.0844470108690434,1,179256,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4,1,1,4,4,2,1,36,25,0,1.1999591675711834,0,14746,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,0,2,1,1,3,2,8,15,0,1.009649508030881,0,9274,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,1,2,5,4,1,1,78,30,0,1.016607336051996,1,12435,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,2,2,2,1,3,2,89,20,1,0.8242967056739868,0,18216,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,1,2,5,2,3,0,20,25,0,1.1013600422093144,1,13626,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
9,0,2,3,3,2,0,206,20,0,1.142593701509124,0,6220,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
10,0,2,4,5,3,0,252,30,0,0.8702289931545798,1,25525,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
11,1,2,5,1,2,0,170,25,0,1.1404438193700843,0,6686,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12,0,2,0,4,2,2,314,20,0,1.1033051757919303,1,28166,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
13,0,2,3,2,3,0,72,15,1,0.8418250311392648,1,5434,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14,0,2,3,1,1,0,153,30,0,1.1671408342772611,0,6713,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
15,0,2,1,0,15,0,233,30,1,0.814936234847659,0,76338,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16,1,2,2,2,9,0,276,20,1,0.8135040247329168,0,50676,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
17,0,3,3,4,2,0,230,20,0,0.8926164251069971,0,5029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
18,2,3,5,4,3,0,297,15,1,0.8858959582439415,1,4798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19,1,3,2,0,8,2,196,15,1,1.1279284511024048,0,126508,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
20,2,3,0,0,8,1,215,30,1,0.8936089485837221,1,140981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
21,1,3,4,3,2,0,251,30,0,0.8301455194001277,0,8126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1,3,0,3,2,0,330,20,1,0.8821900704537131,1,5247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,2,3,1,1,3,0,62,30,0,0.8715454411215438,1,6536,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
24,1,3,0,4,2,2,27,15,0,0.9064016619545502,1,18388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
25,1,3,0,0,2,0,276,20,0,1.1394226909338807,1,9382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
26,0,3,4,3,3,1,292,15,1,0.9082779704316832,0,13098,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
27,2,3,3,4,3,0,241,25,0,0.9360150276685616,1,25983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
28,1,3,2,1,3,2,198,30,1,1.038372972302918,0,60213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
29,1,3,4,1,2,2,330,20,0,0.8128694919618499,0,17616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
