Airline,Flight_Type,Source,Destination,Stops,Journey_Date,Day_of_Week,Month,Departure_Time,Arrival_Time,Duration_Hours,Ticket_Class,Booking_Days_Before,Baggage_Allowance_Kg,Meal_Included,Fuel_Price_Impact,Peak_Season,Flight_Price_INR
SpiceJet,International,Dubai,Mumbai,1,2023-01-01,Monday,January,Afternoon,Early Morning,4,First Class,259,30,No,1.0015207393722505,Yes,29317
Lufthansa,Domestic,London,Mumbai,2,2023-01-01,Monday,January,Night,Evening,9,Business,248,20,Yes,1.128425009419991,Yes,153856
GoAir,International,Delhi,Dubai,1,2023-01-01,Monday,January,Afternoon,Early Morning,4,First Class,155,20,Yes,0.9429227717680807,Yes,31483
Qatar Airways,Domestic,Mumbai,London,0,2023-01-01,Monday,January,Late Night,Night,10,First Class,330,25,Yes,1.0844470108690434,Yes,179256
Vistara,International,Delhi,Kolkata,1,2023-01-01,Monday,January,Night,Night,2,Business,36,25,No,1.1999591675711834,No,14746
Emirates,Domestic,Kolkata,Delhi,0,2023-01-02,Tuesday,January,Morning,Morning,3,First Class,8,15,No,1.009649508030881,No,9274
SpiceJet,Domestic,Hyderabad,Bangalore,1,2023-01-02,Tuesday,January,Late Night,Night,1,Business,78,30,No,1.016607336051996,Yes,12435
Qatar Airways,Domestic,Chennai,Delhi,2,2023-01-02,Tuesday,January,Afternoon,Morning,3,First Class,89,20,Yes,0.8242967056739868,No,18216
SpiceJet,International,Mumbai,Kolkata,1,2023-01-02,Tuesday,January,Late Night,Afternoon,3,Economy,20,25,No,1.1013600422093144,Yes,13626
SpiceJet,Domestic,Mumbai,Chennai,0,2023-01-02,Tuesday,January,Evening,Evening,2,Economy,206,20,No,1.142593701509124,No,6220
Qatar Airways,Domestic,Mumbai,Dubai,0,2023-01-02,Tuesday,January,Night,Late Night,3,Economy,252,30,No,0.8702289931545798,Yes,25525
Vistara,Domestic,Delhi,Chennai,1,2023-01-02,Tuesday,January,Late Night,Morning,2,Economy,170,25,No,1.1404438193700845,No,6686
IndiGo,International,Mumbai,Kolkata,0,2023-01-02,Tuesday,January,Early Morning,Night,2,First Class,314,20,No,1.1033051757919305,Yes,28166
SpiceJet,International,Delhi,Hyderabad,0,2023-01-02,Tuesday,January,Evening,Afternoon,3,Economy,72,15,Yes,0.8418250311392648,Yes,5434
SpiceJet,Domestic,Bangalore,Chennai,0,2023-01-02,Tuesday,January,Evening,Morning,1,Economy,153,30,No,1.1671408342772613,No,6713
GoAir,International,Delhi,New York,0,2023-01-02,Tuesday,January,Morning,Early Morning,15,Economy,233,30,Yes,0.814936234847659,No,76338
Air India,International,London,Delhi,1,2023-01-02,Tuesday,January,Afternoon,Afternoon,9,Economy,276,20,Yes,0.8135040247329168,No,50676
Air India,Domestic,Mumbai,Chennai,0,2023-01-03,Wednesday,January,Evening,Night,2,Economy,230,20,No,0.8926164251069971,No,5029
